date,year,month,soi
1907m11,1907,11,-2
1907m12,1907,12,9
 1908m1,1908,1,-11
 1908m2,1908,2,8
 1908m3,1908,3,0
 1908m4,1908,4,17
 1908m5,1908,5,-1
 1908m6,1908,6,-2
 1908m7,1908,7,2
 1908m8,1908,8,5
 1908m9,1908,9,18
1908m10,1908,10,8
1908m11,1908,11,3
1908m12,1908,12,-6
 1909m1,1909,1,-3
 1909m2,1909,2,-3
 1909m3,1909,3,0
 1909m4,1909,4,-15
 1909m5,1909,5,2
 1909m6,1909,6,23
 1909m7,1909,7,11
 1909m8,1909,8,10
 1909m9,1909,9,1
1909m10,1909,10,4
1909m11,1909,11,9
1909m12,1909,12,5
 1910m1,1910,1,6
 1910m2,1910,2,15
 1910m3,1910,3,13
 1910m4,1910,4,5
 1910m5,1910,5,1
 1910m6,1910,6,22
 1910m7,1910,7,21
 1910m8,1910,8,10
 1910m9,1910,9,15
1910m10,1910,10,10
1910m11,1910,11,20
1910m12,1910,12,16
 1911m1,1911,1,3
 1911m2,1911,2,2
 1911m3,1911,3,4
 1911m4,1911,4,2
 1911m5,1911,5,-8
 1911m6,1911,6,-12
 1911m7,1911,7,-13
 1911m8,1911,8,-12
 1911m9,1911,9,-9
1911m10,1911,10,-12
1911m11,1911,11,-7
1911m12,1911,12,-1
 1912m1,1912,1,-10
 1912m2,1912,2,-17
 1912m3,1912,3,-9
 1912m4,1912,4,-21
 1912m5,1912,5,-13
 1912m6,1912,6,-6
 1912m7,1912,7,0
 1912m8,1912,8,-8
 1912m9,1912,9,-4
1912m10,1912,10,-8
1912m11,1912,11,3
1912m12,1912,12,-8
 1913m1,1913,1,-4
 1913m2,1913,2,-5
 1913m3,1913,3,1
 1913m4,1913,4,-6
 1913m5,1913,5,-8
 1913m6,1913,6,-4
 1913m7,1913,7,-2
 1913m8,1913,8,-8
 1913m9,1913,9,-9
1913m10,1913,10,-9
1913m11,1913,11,-12
1913m12,1913,12,-7
 1914m1,1914,1,-5
 1914m2,1914,2,2
 1914m3,1914,3,9
 1914m4,1914,4,-15
 1914m5,1914,5,0
 1914m6,1914,6,-17
 1914m7,1914,7,-18
 1914m8,1914,8,-17
 1914m9,1914,9,-12
1914m10,1914,10,-9
1914m11,1914,11,-12
1914m12,1914,12,-1
 1915m1,1915,1,-22
 1915m2,1915,2,-2
 1915m3,1915,3,-20
 1915m4,1915,4,-18
 1915m5,1915,5,-12
 1915m6,1915,6,7
 1915m7,1915,7,14
 1915m8,1915,8,7
 1915m9,1915,9,8
1915m10,1915,10,2
1915m11,1915,11,-15
1915m12,1915,12,10
 1916m1,1916,1,6
 1916m2,1916,2,-4
 1916m3,1916,3,-6
 1916m4,1916,4,-1
 1916m5,1916,5,7
 1916m6,1916,6,9
 1916m7,1916,7,26
 1916m8,1916,8,16
 1916m9,1916,9,5
1916m10,1916,10,6
1916m11,1916,11,10
1916m12,1916,12,15
 1917m1,1917,1,5
 1917m2,1917,2,10
 1917m3,1917,3,18
 1917m4,1917,4,22
 1917m5,1917,5,22
 1917m6,1917,6,21
 1917m7,1917,7,28
 1917m8,1917,8,35
 1917m9,1917,9,30
1917m10,1917,10,15
1917m11,1917,11,21
1917m12,1917,12,23
 1918m1,1918,1,15
 1918m2,1918,2,17
 1918m3,1918,3,-2
 1918m4,1918,4,17
 1918m5,1918,5,10
 1918m6,1918,6,-5
 1918m7,1918,7,-14
 1918m8,1918,8,-4
 1918m9,1918,9,-8
1918m10,1918,10,-5
1918m11,1918,11,1
1918m12,1918,12,-8
 1919m1,1919,1,-15
 1919m2,1919,2,-11
 1919m3,1919,3,-13
 1919m4,1919,4,-3
 1919m5,1919,5,-7
 1919m6,1919,6,-10
 1919m7,1919,7,-9
 1919m8,1919,8,-7
 1919m9,1919,9,-6
1919m10,1919,10,-11
1919m11,1919,11,-11
1919m12,1919,12,-9
 1920m1,1920,1,2
 1920m2,1920,2,-2
 1920m3,1920,3,-4
 1920m4,1920,4,0
 1920m5,1920,5,-3
 1920m6,1920,6,7
 1920m7,1920,7,9
 1920m8,1920,8,5
 1920m9,1920,9,5
1920m10,1920,10,-4
1920m11,1920,11,0
1920m12,1920,12,10
 1921m1,1921,1,11
 1921m2,1921,2,7
 1921m3,1921,3,9
 1921m4,1921,4,-7
 1921m5,1921,5,2
 1921m6,1921,6,22
 1921m7,1921,7,3
 1921m8,1921,8,-7
 1921m9,1921,9,5
1921m10,1921,10,10
1921m11,1921,11,9
1921m12,1921,12,8
 1922m1,1922,1,8
 1922m2,1922,2,9
 1922m3,1922,3,6
 1922m4,1922,4,-6
 1922m5,1922,5,-5
 1922m6,1922,6,6
 1922m7,1922,7,2
 1922m8,1922,8,-1
 1922m9,1922,9,5
1922m10,1922,10,6
1922m11,1922,11,9
1922m12,1922,12,12
 1923m1,1923,1,6
 1923m2,1923,2,4
 1923m3,1923,3,9
 1923m4,1923,4,9
 1923m5,1923,5,2
 1923m6,1923,6,1
 1923m7,1923,7,-12
 1923m8,1923,8,-19
 1923m9,1923,9,-15
1923m10,1923,10,-6
1923m11,1923,11,-13
1923m12,1923,12,2
 1924m1,1924,1,-5
 1924m2,1924,2,1
 1924m3,1924,3,2
 1924m4,1924,4,-15
 1924m5,1924,5,12
 1924m6,1924,6,8
 1924m7,1924,7,7
 1924m8,1924,8,10
 1924m9,1924,9,8
1924m10,1924,10,8
1924m11,1924,11,12
1924m12,1924,12,5
 1925m1,1925,1,6
 1925m2,1925,2,14
 1925m3,1925,3,15
 1925m4,1925,4,14
 1925m5,1925,5,-1
 1925m6,1925,6,-5
 1925m7,1925,7,-13
 1925m8,1925,8,-11
 1925m9,1925,9,-6
1925m10,1925,10,-13
1925m11,1925,11,-9
1925m12,1925,12,-7
 1926m1,1926,1,-5
 1926m2,1926,2,-15
 1926m3,1926,3,-13
 1926m4,1926,4,-7
 1926m5,1926,5,-3
 1926m6,1926,6,-7
 1926m7,1926,7,-1
 1926m8,1926,8,-8
 1926m9,1926,9,1
1926m10,1926,10,4
1926m11,1926,11,1
1926m12,1926,12,6
 1927m1,1927,1,5
 1927m2,1927,2,1
 1927m3,1927,3,18
 1927m4,1927,4,7
 1927m5,1927,5,6
 1927m6,1927,6,8
 1927m7,1927,7,6
 1927m8,1927,8,-5
 1927m9,1927,9,0
1927m10,1927,10,-4
1927m11,1927,11,-8
1927m12,1927,12,8
 1928m1,1928,1,-10
 1928m2,1928,2,11
 1928m3,1928,3,14
 1928m4,1928,4,12
 1928m5,1928,5,-3
 1928m6,1928,6,-8
 1928m7,1928,7,0
 1928m8,1928,8,10
 1928m9,1928,9,8
1928m10,1928,10,9
1928m11,1928,11,3
1928m12,1928,12,12
 1929m1,1929,1,16
 1929m2,1929,2,18
 1929m3,1929,3,5
 1929m4,1929,4,5
 1929m5,1929,5,-12
 1929m6,1929,6,1
 1929m7,1929,7,2
 1929m8,1929,8,0
 1929m9,1929,9,0
1929m10,1929,10,8
1929m11,1929,11,11
1929m12,1929,12,6
 1930m1,1930,1,13
 1930m2,1930,2,8
 1930m3,1930,3,2
